tt0116410 {'critics_score': 46, 'audience_score': 64} 
tt0117318 {'critics_score': 87, 'audience_score': 74} 
tt0117011 {'critics_score': 28, 'audience_score': 37} 
tt0116329 {'critics_score': 85, 'audience_score': 64} 
tt0115493 {'critics_score': 18, 'audience_score': 50} 
tt0117108 {'critics_score': 44, 'audience_score': 43} 
tt0116905 {'critics_score': 93, 'audience_score': 81} 
tt0115798 {'critics_score': 54, 'audience_score': 50} 
tt0115963 {'critics_score': 50, 'audience_score': 67} 
tt0115734 {'critics_score': 80, 'audience_score': 78} 
tt0115907 {'critics_score': 54, 'audience_score': 41} 
tt0116731 {'critics_score': 15, 'audience_score': 37} 
tt0114388 {'critics_score': 98, 'audience_score': 88} 
tt0112346 {'critics_score': 90, 'audience_score': 71} 
tt0114307 {'critics_score': 43, 'audience_score': 63} 
tt0113613 {'critics_score': -1, 'audience_score': 78} 
tt0112435 {'critics_score': 64, 'audience_score': 45} 
tt0113957 {'critics_score': 36, 'audience_score': 50} 
tt0113419 {'critics_score': 68, 'audience_score': 42} 
tt0113071 {'critics_score': 47, 'audience_score': 59} 
tt0111151 {'critics_score': -1, 'audience_score': 31} 
tt0112851 {'critics_score': 62, 'audience_score': 79} 
tt0112495 {'critics_score': 35, 'audience_score': 63} 
tt0114681 {'critics_score': 87, 'audience_score': 56} 
tt0109642 {'critics_score': 82, 'audience_score': 75} 
tt0112471 {'critics_score': 100, 'audience_score': 91} 
tt0113305 {'critics_score': 50, 'audience_score': 74} 
tt0110367 {'critics_score': -1, 'audience_score': 82} 
tt0111001 {'critics_score': 41, 'audience_score': 39} 
tt0110091 {'critics_score': 80, 'audience_score': 86} 
tt0109288 {'critics_score': 13, 'audience_score': 32} 
tt0110657 {'critics_score': 5, 'audience_score': 35} 
tt0111742 {'critics_score': 61, 'audience_score': 42} 
tt0109439 {'critics_score': 19, 'audience_score': 34} 
tt0110678 {'critics_score': 53, 'audience_score': 44} 
tt0110097 {'critics_score': 61, 'audience_score': 41} 
tt0107004 {'critics_score': 53, 'audience_score': 53} 
tt0107630 {'critics_score': 44, 'audience_score': 68} 
tt0107943 {'critics_score': 97, 'audience_score': 85} 
tt0108238 {'critics_score': 15, 'audience_score': 39} 
tt0106226 {'critics_score': 82, 'audience_score': 72} 
tt0107840 {'critics_score': 31, 'audience_score': 82} 
tt0107206 {'critics_score': 95, 'audience_score': 73} 
tt0107362 {'critics_score': 38, 'audience_score': 43} 
tt0107443 {'critics_score': 69, 'audience_score': 71} 
tt0106266 {'critics_score': 21, 'audience_score': 34} 
tt0107048 {'critics_score': 96, 'audience_score': 79} 
tt0107711 {'critics_score': 25, 'audience_score': 38} 
tt0104257 {'critics_score': 81, 'audience_score': 83} 
tt0103874 {'critics_score': 80, 'audience_score': 79} 
tt0104412 {'critics_score': 68, 'audience_score': 47} 
tt0104815 {'critics_score': 93, 'audience_score': 74} 
tt0101368 {'critics_score': -1, 'audience_score': 40} 
tt0105414 {'critics_score': 56, 'audience_score': 49} 
tt0104897 {'critics_score': 13, 'audience_score': 51} 
tt0104779 {'critics_score': 63, 'audience_score': 78} 
tt0104694 {'critics_score': 77, 'audience_score': 79} 
tt0100152 {'critics_score': -1, 'audience_score': 31} 
tt0105428 {'critics_score': 17, 'audience_score': 39} 
tt0104346 {'critics_score': 25, 'audience_score': 68} 
tt0105211 {'critics_score': 41, 'audience_score': 72} 
tt0103838 {'critics_score': 67, 'audience_score': 66} 
tt0102713 {'critics_score': 73, 'audience_score': 69} 
tt0102492 {'critics_score': 50, 'audience_score': 75} 
